format=0 tracks=1 division=120

BA    1   CR         0   TR  0   CH 16   Text type 3: "untitled"
BA    1   CR         0   TR  0   CH 16   Text type 1: "Lewis Wall"
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Key C major
BA    1   CR         0   TR  0   CH 16   Tempo 55
BA    7   CR      3/20   TR  0   CH  1   ST &B0 &0B &3B
BA    7   CR    19/120   TR  0   CH  2   Channel volume 88
BA    7   CR       1/6   TR  0   CH  2   ST &B1 &0B &3C
BA    7   CR     11/60   TR  0   CH  2   ST &B1 &0B &3B
BA    7   CR       1/5   TR  0   CH  1   ST &B0 &0B &3C
BA    7   CR      5/24   TR  0   CH  2   Channel volume 89
BA    7   CR     13/60   TR  0   CH  2   ST &B1 &0B &3A
BA    7   CR      7/30   TR  0   CH  2   ST &B1 &0B &39
BA    7   CR       1/4   TR  0   CH  1   ST &B0 &0B &3D
BA    7   CR       1/4   TR  0   CH  1   NT  D             1/4
BA    7   CR       1/4   TR  0   CH  2   ST &B1 &0B &38
BA    7   CR       1/4   TR  0   CH  2   NT  Bb-           1/4   von=107
BA    7   CR    31/120   TR  0   CH  2   Channel volume 90
BA    7   CR      3/10   TR  0   CH  1   ST &B0 &0B &3E
BA    7   CR      3/10   TR  0   CH  2   ST &B1 &0B &39
BA    7   CR    37/120   TR  0   CH  2   Channel volume 91
BA    7   CR      7/20   TR  0   CH  1   ST &B0 &0B &3F
BA    7   CR      7/20   TR  0   CH  2   ST &B1 &0B &3A
BA    7   CR    43/120   TR  0   CH  2   Channel volume 92
BA    7   CR       2/5   TR  0   CH  1   ST &B0 &0B &40
BA    7   CR       2/5   TR  0   CH  2   ST &B1 &0B &3B
BA    7   CR    49/120   TR  0   CH  2   Channel volume 93
BA    7   CR      9/20   TR  0   CH  1   ST &B0 &0B &41
BA    7   CR      9/20   TR  0   CH  2   ST &B1 &0B &3C
BA    7   CR     11/24   TR  0   CH  2   Channel volume 94
BA    7   CR       1/2   TR  0   CH  1   ST &B0 &0B &42
BA    7   CR       1/2   TR  0   CH  1   NT  C             1/4   von=100
BA    7   CR       1/2   TR  0   CH  2   ST &B1 &0B &3D
BA    7   CR       1/2   TR  0   CH  2   NT  D             1/4
BA    7   CR    61/120   TR  0   CH  2   Channel volume 95
BA    7   CR     11/20   TR  0   CH  1   ST &B0 &0B &43
BA    7   CR     11/20   TR  0   CH  2   ST &B1 &0B &3E
BA    7   CR    67/120   TR  0   CH  2   Channel volume 96
BA    7   CR       3/5   TR  0   CH  1   ST &B0 &0B &44
BA    7   CR       3/5   TR  0   CH  2   ST &B1 &0B &3F
BA    7   CR    73/120   TR  0   CH  2   Channel volume 97
BA    7   CR     13/20   TR  0   CH  1   ST &B0 &0B &45
BA    7   CR     13/20   TR  0   CH  2   ST &B1 &0B &40
BA    7   CR    79/120   TR  0   CH  2   Channel volume 98
BA    7   CR      7/10   TR  0   CH  1   ST &B0 &0B &46
BA    7   CR      7/10   TR  0   CH  2   ST &B1 &0B &41
BA    7   CR     17/24   TR  0   CH  2   Channel volume 99
BA    7   CR       3/4   TR  0   CH  1   ST &B0 &0B &47
BA    7   CR       3/4   TR  0   CH  1   NT  D             1/4
BA    7   CR       3/4   TR  0   CH  2   ST &B1 &0B &42
BA    7   CR       3/4   TR  0   CH  2   NT  C             1/4
BA    7   CR    91/120   TR  0   CH  2   Channel volume 100
BA    7   CR       4/5   TR  0   CH  1   ST &B0 &0B &48
BA    7   CR       4/5   TR  0   CH  2   ST &B1 &0B &43
BA    7   CR    97/120   TR  0   CH  2   Channel volume 101
BA    7   CR     17/20   TR  0   CH  1   ST &B0 &0B &49
BA    7   CR     17/20   TR  0   CH  2   ST &B1 &0B &44
BA    7   CR   103/120   TR  0   CH  2   Channel volume 102
BA    7   CR      9/10   TR  0   CH  1   ST &B0 &0B &4A
BA    7   CR      9/10   TR  0   CH  2   ST &B1 &0B &45
BA    7   CR   109/120   TR  0   CH  2   Channel volume 103
BA    7   CR     19/20   TR  0   CH  1   ST &B0 &0B &4B
BA    7   CR     19/20   TR  0   CH  2   ST &B1 &0B &46
BA    7   CR     23/24   TR  0   CH  2   Channel volume 104
BA    7   CR         1   TR  0   CH  1   ST &B0 &0B &4C
BA    7   CR         1   TR  0   CH  1   NT  F             1/4
BA    7   CR         1   TR  0   CH  2   ST &B1 &0B &47
BA    7   CR         1   TR  0   CH  2   NT  D             1/4
BA    7   CR   1+1/120   TR  0   CH  2   Channel volume 105
BA    7   CR    1+1/24   TR  0   CH  2   Channel volume 104
BA    7   CR    1+1/20   TR  0   CH  2   ST &B1 &0B &48
BA    7   CR   1+7/120   TR  0   CH  2   Channel volume 103
BA    7   CR    1+1/15   TR  0   CH  1   ST &B0 &0B &4B
BA    7   CR    1+3/40   TR  0   CH  2   Channel volume 102
BA    7   CR  1+11/120   TR  0   CH  2   Channel volume 101
BA    7   CR    1+1/10   TR  0   CH  2   ST &B1 &0B &49
BA    7   CR    1+7/60   TR  0   CH  1   ST &B0 &0B &4A
BA    7   CR     1+1/8   TR  0   CH  2   Channel volume 100
BA    7   CR  1+17/120   TR  0   CH  2   Channel volume 99
BA    7   CR    1+3/20   TR  0   CH  2   ST &B1 &0B &4A
BA    7   CR  1+19/120   TR  0   CH  2   Channel volume 98
BA    7   CR     1+1/6   TR  0   CH  1   ST &B0 &0B &49
BA    7   CR    1+7/40   TR  0   CH  2   Channel volume 97
BA    7   CR     1+1/5   TR  0   CH  2   ST &B1 &0B &4B
BA    7   CR    1+5/24   TR  0   CH  2   Channel volume 96
BA    7   CR   1+13/60   TR  0   CH  1   ST &B0 &0B &48
BA    7   CR    1+9/40   TR  0   CH  2   Channel volume 95
BA    7   CR  1+29/120   TR  0   CH  2   Channel volume 94
BA    7   CR     1+1/4   TR  0   CH  1   NT  D             1/4
BA    7   CR     1+1/4   TR  0   CH  2   ST &B1 &0B &4C
BA    7   CR     1+1/4   TR  0   CH  2   NT  F             1/4
BA    7   CR  1+31/120   TR  0   CH  2   Channel volume 93
BA    7   CR    1+4/15   TR  0   CH  1   ST &B0 &0B &47
BA    7   CR    1+7/24   TR  0   CH  2   Channel volume 92
BA    7   CR  1+37/120   TR  0   CH  2   Channel volume 91
BA    7   CR   1+19/60   TR  0   CH  1   ST &B0 &0B &46
BA    7   CR   1+19/60   TR  0   CH  2   ST &B1 &0B &4B
BA    7   CR   1+13/40   TR  0   CH  2   Channel volume 90
BA    7   CR  1+41/120   TR  0   CH  2   Channel volume 89
BA    7   CR   1+11/30   TR  0   CH  2   ST &B1 &0B &4A
BA    7   CR     1+3/8   TR  0   CH  2   Channel volume 88
BA    7   CR   1+23/60   TR  0   CH  1   ST &B0 &0B &45
BA    7   CR  1+47/120   TR  0   CH  2   Channel volume 87
BA    7   CR  1+49/120   TR  0   CH  2   Channel volume 86
BA    7   CR    1+5/12   TR  0   CH  2   ST &B1 &0B &49
BA    7   CR   1+17/40   TR  0   CH  2   Channel volume 85
BA    7   CR   1+13/30   TR  0   CH  1   ST &B0 &0B &44
BA    7   CR   1+11/24   TR  0   CH  2   Channel volume 84
BA    7   CR    1+7/15   TR  0   CH  2   ST &B1 &0B &48
BA    7   CR   1+19/40   TR  0   CH  2   Channel volume 83
BA    7   CR   1+29/60   TR  0   CH  1   ST &B0 &0B &43
BA    7   CR  1+59/120   TR  0   CH  2   Channel volume 82
BA    7   CR     1+1/2   TR  0   CH  1   NT  C             1/4
BA    7   CR     1+1/2   TR  0   CH  2   NT  D             1/4
BA    7   CR  1+61/120   TR  0   CH  2   Channel volume 81
BA    7   CR   1+31/60   TR  0   CH  2   ST &B1 &0B &47
BA    7   CR    1+8/15   TR  0   CH  1   ST &B0 &0B &42
BA    7   CR   1+13/24   TR  0   CH  2   Channel volume 80
BA    7   CR  1+67/120   TR  0   CH  2   Channel volume 79
BA    7   CR   1+17/30   TR  0   CH  2   ST &B1 &0B &46
BA    7   CR   1+23/40   TR  0   CH  2   Channel volume 78
BA    7   CR    1+7/12   TR  0   CH  1   ST &B0 &0B &41
BA    7   CR  1+71/120   TR  0   CH  2   Channel volume 77
BA    7   CR     1+5/8   TR  0   CH  2   Channel volume 76
BA    7   CR   1+19/30   TR  0   CH  1   ST &B0 &0B &40
BA    7   CR   1+19/30   TR  0   CH  2   ST &B1 &0B &45
BA    7   CR  1+77/120   TR  0   CH  2   Channel volume 75
BA    7   CR  1+79/120   TR  0   CH  2   Channel volume 74
BA    7   CR   1+27/40   TR  0   CH  2   Channel volume 73
BA    7   CR   1+41/60   TR  0   CH  2   ST &B1 &0B &44
BA    7   CR    1+7/10   TR  0   CH  1   ST &B0 &0B &3F
BA    7   CR   1+17/24   TR  0   CH  2   Channel volume 72
BA    7   CR   1+29/40   TR  0   CH  2   Channel volume 71
BA    7   CR   1+11/15   TR  0   CH  2   ST &B1 &0B &43
BA    7   CR  1+89/120   TR  0   CH  2   Channel volume 70
BA    7   CR     1+3/4   TR  0   CH  1   ST &B0 &0B &3E
BA    7   CR     1+3/4   TR  0   CH  1   NT  D             1/4
BA    7   CR     1+3/4   TR  0   CH  2   NT  C             1/4
BA    7   CR  1+91/120   TR  0   CH  2   Channel volume 69
BA    7   CR   1+47/60   TR  0   CH  2   ST &B1 &0B &42
BA    7   CR   1+19/24   TR  0   CH  2   Channel volume 68
BA    7   CR     1+4/5   TR  0   CH  1   ST &B0 &0B &3D
BA    7   CR  1+97/120   TR  0   CH  2   Channel volume 67
BA    7   CR   1+33/40   TR  0   CH  2   Channel volume 66
BA    7   CR     1+5/6   TR  0   CH  2   ST &B1 &0B &41
BA    7   CR 1+101/120   TR  0   CH  2   Channel volume 65
BA    7   CR   1+17/20   TR  0   CH  1   ST &B0 &0B &3C
BA    7   CR     1+7/8   TR  0   CH  2   Channel volume 64
BA    7   CR   1+53/60   TR  0   CH  2   ST &B1 &0B &40
BA    7   CR 1+107/120   TR  0   CH  2   Channel volume 63
BA    7   CR    1+9/10   TR  0   CH  1   ST &B0 &0B &3B
BA    7   CR 1+109/120   TR  0   CH  2   Channel volume 62
BA    7   CR   1+37/40   TR  0   CH  2   Channel volume 61
BA    7   CR   1+19/20   TR  0   CH  1   ST &B0 &0B &3A
BA    7   CR   1+19/20   TR  0   CH  2   ST &B1 &0B &3F
BA    7   CR   1+23/24   TR  0   CH  2   Channel volume 60
BA    7   CR   1+39/40   TR  0   CH  2   Channel volume 59
BA    7   CR 1+119/120   TR  0   CH  2   Channel volume 58
BA    7   CR         2   TR  0   CH  1   ST &B0 &0B &39
BA    7   CR         2   TR  0   CH  1   NT  Bb-           1/4   von=109
BA    7   CR         2   TR  0   CH  2   ST &B1 &0B &3E
BA    7   CR         2   TR  0   CH  2   NT  D             1/4   von=100
BA    7   CR   2+1/120   TR  0   CH  2   Channel volume 57
BA    7   CR    2+1/30   TR  0   CH  1   ST &B0 &0B &3A
BA    7   CR    2+1/20   TR  0   CH  2   ST &B1 &0B &3D
BA    7   CR   2+7/120   TR  0   CH  2   Channel volume 56
BA    7   CR    2+1/15   TR  0   CH  1   ST &B0 &0B &3B
BA    7   CR  2+11/120   TR  0   CH  2   Channel volume 55
BA    7   CR    2+1/10   TR  0   CH  1   ST &B0 &0B &3C
BA    7   CR    2+1/10   TR  0   CH  2   ST &B1 &0B &3C
BA    7   CR     2+1/8   TR  0   CH  2   Channel volume 54
BA    7   CR    2+2/15   TR  0   CH  1   ST &B0 &0B &3D
BA    7   CR    2+3/20   TR  0   CH  2   ST &B1 &0B &3B
BA    7   CR  2+19/120   TR  0   CH  2   Channel volume 53
BA    7   CR     2+1/6   TR  0   CH  1   ST &B0 &0B &3E
BA    7   CR  2+23/120   TR  0   CH  2   Channel volume 52
BA    7   CR     2+1/5   TR  0   CH  1   ST &B0 &0B &3F
BA    7   CR     2+1/5   TR  0   CH  2   ST &B1 &0B &3A
BA    7   CR    2+9/40   TR  0   CH  2   Channel volume 51
BA    7   CR    2+7/30   TR  0   CH  1   ST &B0 &0B &40
BA    7   CR     2+1/4   TR  0   CH  1   NT  D             1/4
BA    7   CR     2+1/4   TR  0   CH  2   ST &B1 &0B &39
BA    7   CR     2+1/4   TR  0   CH  2   NT  Bb-           1/4   von=109
BA    7   CR  2+31/120   TR  0   CH  2   Channel volume 50
BA    7   CR    2+4/15   TR  0   CH  1   ST &B0 &0B &41
BA    7   CR   2+17/60   TR  0   CH  2   ST &B1 &0B &3A
BA    7   CR    2+7/24   TR  0   CH  2   Channel volume 49
BA    7   CR    2+3/10   TR  0   CH  1   ST &B0 &0B &42
BA    7   CR   2+19/60   TR  0   CH  2   ST &B1 &0B &3B
BA    7   CR   2+13/40   TR  0   CH  2   Channel volume 48
BA    7   CR     2+1/3   TR  0   CH  1   ST &B0 &0B &43
BA    7   CR    2+7/20   TR  0   CH  2   ST &B1 &0B &3C
BA    7   CR   2+11/30   TR  0   CH  1   ST &B0 &0B &44
BA    7   CR     2+3/8   TR  0   CH  2   Channel volume 47
BA    7   CR   2+23/60   TR  0   CH  2   ST &B1 &0B &3D
BA    7   CR     2+2/5   TR  0   CH  1   ST &B0 &0B &45
BA    7   CR  2+49/120   TR  0   CH  2   Channel volume 46
BA    7   CR    2+5/12   TR  0   CH  2   ST &B1 &0B &3E
BA    7   CR   2+13/30   TR  0   CH  1   ST &B0 &0B &46
BA    7   CR  2+53/120   TR  0   CH  2   Channel volume 45
BA    7   CR    2+9/20   TR  0   CH  2   ST &B1 &0B &3F
BA    7   CR    2+7/15   TR  0   CH  1   ST &B0 &0B &47
BA    7   CR   2+19/40   TR  0   CH  2   Channel volume 44
BA    7   CR   2+29/60   TR  0   CH  2   ST &B1 &0B &40
BA    7   CR     2+1/2   TR  0   CH  1   ST &B0 &0B &48
BA    7   CR     2+1/2   TR  0   CH  1   NT  C             1/4   von=100
BA    7   CR     2+1/2   TR  0   CH  2   NT  D             1/4
BA    7   CR  2+61/120   TR  0   CH  2   Channel volume 43
BA    7   CR   2+31/60   TR  0   CH  2   ST &B1 &0B &41
BA    7   CR    2+8/15   TR  0   CH  1   ST &B0 &0B &49
BA    7   CR   2+13/24   TR  0   CH  2   Channel volume 42
BA    7   CR   2+11/20   TR  0   CH  2   ST &B1 &0B &42
BA    7   CR   2+17/30   TR  0   CH  1   ST &B0 &0B &4A
BA    7   CR   2+23/40   TR  0   CH  2   Channel volume 41
BA    7   CR    2+7/12   TR  0   CH  2   ST &B1 &0B &43
BA    7   CR     2+3/5   TR  0   CH  1   ST &B0 &0B &4B
BA    7   CR  2+73/120   TR  0   CH  2   Channel volume 40
BA    7   CR   2+37/60   TR  0   CH  2   ST &B1 &0B &44
BA    7   CR   2+19/30   TR  0   CH  1   ST &B0 &0B &4C
BA    7   CR  2+77/120   TR  0   CH  2   Channel volume 39
BA    7   CR   2+13/20   TR  0   CH  2   ST &B1 &0B &45
BA    7   CR     2+2/3   TR  0   CH  1   ST &B0 &0B &4D
BA    7   CR   2+27/40   TR  0   CH  2   Channel volume 38
BA    7   CR   2+41/60   TR  0   CH  2   ST &B1 &0B &46
BA    7   CR    2+7/10   TR  0   CH  1   ST &B0 &0B &4E
BA    7   CR   2+43/60   TR  0   CH  2   ST &B1 &0B &47
BA    7   CR   2+29/40   TR  0   CH  2   Channel volume 37
BA    7   CR   2+11/15   TR  0   CH  1   ST &B0 &0B &4F
BA    7   CR     2+3/4   TR  0   CH  1   NT  D             1/4
BA    7   CR     2+3/4   TR  0   CH  2   ST &B1 &0B &48
BA    7   CR     2+3/4   TR  0   CH  2   NT  C             1/4
BA    7   CR  2+91/120   TR  0   CH  2   Channel volume 36
BA    7   CR   2+23/30   TR  0   CH  1   ST &B0 &0B &50
BA    7   CR   2+47/60   TR  0   CH  2   ST &B1 &0B &49
BA    7   CR   2+19/24   TR  0   CH  2   Channel volume 35
BA    7   CR     2+4/5   TR  0   CH  1   ST &B0 &0B &51
BA    7   CR   2+49/60   TR  0   CH  2   ST &B1 &0B &4A
BA    7   CR   2+33/40   TR  0   CH  2   Channel volume 34
BA    7   CR     2+5/6   TR  0   CH  1   ST &B0 &0B &52
BA    7   CR   2+17/20   TR  0   CH  2   ST &B1 &0B &4B
BA    7   CR 2+103/120   TR  0   CH  2   Channel volume 33
BA    7   CR   2+13/15   TR  0   CH  1   ST &B0 &0B &53
BA    7   CR   2+53/60   TR  0   CH  2   ST &B1 &0B &4C
BA    7   CR 2+107/120   TR  0   CH  2   Channel volume 32
BA    7   CR    2+9/10   TR  0   CH  1   ST &B0 &0B &54
BA    7   CR   2+11/12   TR  0   CH  2   ST &B1 &0B &4D
BA    7   CR   2+37/40   TR  0   CH  2   Channel volume 31
BA    7   CR   2+14/15   TR  0   CH  1   ST &B0 &0B &55
BA    7   CR   2+19/20   TR  0   CH  2   ST &B1 &0B &4E
BA    7   CR   2+23/24   TR  0   CH  2   Channel volume 30
BA    7   CR   2+29/30   TR  0   CH  1   ST &B0 &0B &56
BA    7   CR   2+59/60   TR  0   CH  2   ST &B1 &0B &4F
BA    7   CR 2+119/120   TR  0   CH  2   Channel volume 29
BA    7   CR         3   TR  0   CH  1   ST &B0 &0B &57
BA    7   CR         3   TR  0   CH  1   NT  F             1/4
BA    7   CR         3   TR  0   CH  2   NT  D             1/4
BA    7   CR    3+1/60   TR  0   CH  2   ST &B1 &0B &50
BA    7   CR    3+1/24   TR  0   CH  2   Channel volume 28
BA    7   CR    3+1/20   TR  0   CH  1   ST &B0 &0B &56
BA    7   CR    3+1/20   TR  0   CH  2   ST &B1 &0B &51
BA    7   CR    3+3/40   TR  0   CH  2   Channel volume 27
BA    7   CR    3+1/12   TR  0   CH  1   ST &B0 &0B &55
BA    7   CR    3+1/12   TR  0   CH  2   ST &B1 &0B &52
BA    7   CR  3+13/120   TR  0   CH  2   Channel volume 26
BA    7   CR    3+7/60   TR  0   CH  1   ST &B0 &0B &54
BA    7   CR    3+7/60   TR  0   CH  2   ST &B1 &0B &53
BA    7   CR  3+17/120   TR  0   CH  2   Channel volume 25
BA    7   CR    3+3/20   TR  0   CH  1   ST &B0 &0B &53
BA    7   CR    3+3/20   TR  0   CH  2   ST &B1 &0B &54
BA    7   CR    3+7/40   TR  0   CH  2   Channel volume 24
BA    7   CR   3+11/60   TR  0   CH  1   ST &B0 &0B &52
BA    7   CR   3+11/60   TR  0   CH  2   ST &B1 &0B &55
BA    7   CR    3+5/24   TR  0   CH  2   Channel volume 23
BA    7   CR   3+13/60   TR  0   CH  1   ST &B0 &0B &51
BA    7   CR   3+13/60   TR  0   CH  2   ST &B1 &0B &56
BA    7   CR  3+29/120   TR  0   CH  2   Channel volume 22
BA    7   CR     3+1/4   TR  0   CH  1   ST &B0 &0B &50
BA    7   CR     3+1/4   TR  0   CH  1   NT  D             1/4
BA    7   CR     3+1/4   TR  0   CH  2   ST &B1 &0B &57
BA    7   CR     3+1/4   TR  0   CH  2   NT  F             1/4
BA    7   CR   3+11/40   TR  0   CH  2   Channel volume 21
BA    7   CR   3+17/60   TR  0   CH  1   ST &B0 &0B &4F
BA    7   CR    3+3/10   TR  0   CH  2   ST &B1 &0B &56
BA    7   CR  3+37/120   TR  0   CH  2   Channel volume 20
BA    7   CR   3+19/60   TR  0   CH  1   ST &B0 &0B &4E
BA    7   CR     3+1/3   TR  0   CH  2   ST &B1 &0B &55
BA    7   CR  3+41/120   TR  0   CH  2   Channel volume 19
BA    7   CR    3+7/20   TR  0   CH  1   ST &B0 &0B &4D
BA    7   CR   3+11/30   TR  0   CH  2   ST &B1 &0B &54
BA    7   CR   3+23/60   TR  0   CH  1   ST &B0 &0B &4C
BA    7   CR  3+47/120   TR  0   CH  2   Channel volume 18
BA    7   CR     3+2/5   TR  0   CH  2   ST &B1 &0B &53
BA    7   CR    3+5/12   TR  0   CH  1   ST &B0 &0B &4B
BA    7   CR   3+17/40   TR  0   CH  2   Channel volume 17
BA    7   CR   3+13/30   TR  0   CH  2   ST &B1 &0B &52
BA    7   CR    3+9/20   TR  0   CH  1   ST &B0 &0B &4A
BA    7   CR   3+11/24   TR  0   CH  2   Channel volume 16
BA    7   CR    3+7/15   TR  0   CH  2   ST &B1 &0B &51
BA    7   CR   3+29/60   TR  0   CH  1   ST &B0 &0B &49
BA    7   CR  3+59/120   TR  0   CH  2   Channel volume 15
BA    7   CR     3+1/2   TR  0   CH  1   NT  C             1/4
BA    7   CR     3+1/2   TR  0   CH  2   ST &B1 &0B &50
BA    7   CR     3+1/2   TR  0   CH  2   NT  D             1/4
BA    7   CR   3+21/40   TR  0   CH  2   Channel volume 14
BA    7   CR    3+8/15   TR  0   CH  1   ST &B0 &0B &48
BA    7   CR    3+8/15   TR  0   CH  2   ST &B1 &0B &4F
BA    7   CR  3+67/120   TR  0   CH  2   Channel volume 13
BA    7   CR   3+17/30   TR  0   CH  1   ST &B0 &0B &47
BA    7   CR   3+17/30   TR  0   CH  2   ST &B1 &0B &4E
BA    7   CR  3+71/120   TR  0   CH  2   Channel volume 12
BA    7   CR     3+3/5   TR  0   CH  1   ST &B0 &0B &46
BA    7   CR     3+3/5   TR  0   CH  2   ST &B1 &0B &4D
BA    7   CR     3+5/8   TR  0   CH  2   Channel volume 11
BA    7   CR   3+19/30   TR  0   CH  1   ST &B0 &0B &45
BA    7   CR   3+19/30   TR  0   CH  2   ST &B1 &0B &4C
BA    7   CR  3+79/120   TR  0   CH  2   Channel volume 10
BA    7   CR     3+2/3   TR  0   CH  1   ST &B0 &0B &44
BA    7   CR     3+2/3   TR  0   CH  2   ST &B1 &0B &4B
BA    7   CR    3+7/10   TR  0   CH  1   ST &B0 &0B &43
BA    7   CR    3+7/10   TR  0   CH  2   ST &B1 &0B &4A
BA    7   CR   3+17/24   TR  0   CH  2   Channel volume 9
BA    7   CR   3+11/15   TR  0   CH  1   ST &B0 &0B &42
BA    7   CR   3+11/15   TR  0   CH  2   ST &B1 &0B &49
BA    7   CR  3+89/120   TR  0   CH  2   Channel volume 8
BA    7   CR     3+3/4   TR  0   CH  1   NT  D             1/4
BA    7   CR     3+3/4   TR  0   CH  2   NT  C             1/4
BA    7   CR   3+23/30   TR  0   CH  1   ST &B0 &0B &41
BA    7   CR   3+31/40   TR  0   CH  2   Channel volume 7
BA    7   CR   3+47/60   TR  0   CH  2   ST &B1 &0B &48
BA    7   CR     3+4/5   TR  0   CH  1   ST &B0 &0B &40
BA    7   CR  3+97/120   TR  0   CH  2   Channel volume 6
BA    7   CR   3+49/60   TR  0   CH  2   ST &B1 &0B &47
BA    7   CR     3+5/6   TR  0   CH  1   ST &B0 &0B &3F
BA    7   CR 3+101/120   TR  0   CH  2   Channel volume 5
BA    7   CR   3+17/20   TR  0   CH  2   ST &B1 &0B &46
BA    7   CR   3+13/15   TR  0   CH  1   ST &B0 &0B &3E
BA    7   CR     3+7/8   TR  0   CH  2   Channel volume 4
BA    7   CR   3+53/60   TR  0   CH  2   ST &B1 &0B &45
BA    7   CR    3+9/10   TR  0   CH  1   ST &B0 &0B &3D
BA    7   CR 3+109/120   TR  0   CH  2   Channel volume 3
BA    7   CR   3+11/12   TR  0   CH  2   ST &B1 &0B &44
BA    7   CR   3+14/15   TR  0   CH  1   ST &B0 &0B &3C
BA    7   CR 3+113/120   TR  0   CH  2   Channel volume 2
BA    7   CR   3+19/20   TR  0   CH  2   ST &B1 &0B &43
BA    7   CR   3+29/30   TR  0   CH  1   ST &B0 &0B &3B
BA    7   CR   3+39/40   TR  0   CH  2   Channel volume 1
BA    7   CR   3+59/60   TR  0   CH  2   ST &B1 &0B &42

BA    8   CR         0   TR  0   CH  1   ST &B0 &0B &4A
BA    8   CR         0   TR  0   CH  1   NT  Bb-           1/4   von=106
BA    8   CR         0   TR  0   CH  2   NT  D             1/4   von=100
BA    8   CR     1/120   TR  0   CH  2   Channel volume 0
BA    8   CR     1/120   TR  0   CH  2   Channel volume 0
BA    8   CR      1/60   TR  0   CH  2   ST &B1 &0B &41
BA    8   CR      1/30   TR  0   CH  1   ST &B0 &0B &49
BA    8   CR      1/20   TR  0   CH  2   ST &B1 &0B &40
BA    8   CR     7/120   TR  0   CH  2   Channel volume 1
BA    8   CR      1/15   TR  0   CH  1   ST &B0 &0B &48
BA    8   CR      1/12   TR  0   CH  2   ST &B1 &0B &3F
BA    8   CR      1/10   TR  0   CH  1   ST &B0 &0B &47
BA    8   CR    13/120   TR  0   CH  2   Channel volume 2
BA    8   CR      7/60   TR  0   CH  1   ST &B0 &0B &46
BA    8   CR      7/60   TR  0   CH  2   ST &B1 &0B &3E
BA    8   CR      3/20   TR  0   CH  1   ST &B0 &0B &45
BA    8   CR      3/20   TR  0   CH  2   ST &B1 &0B &3D
BA    8   CR    19/120   TR  0   CH  2   Channel volume 3
BA    8   CR     11/60   TR  0   CH  1   ST &B0 &0B &44
BA    8   CR     11/60   TR  0   CH  2   ST &B1 &0B &3C
BA    8   CR       1/5   TR  0   CH  1   ST &B0 &0B &43
BA    8   CR      5/24   TR  0   CH  2   Channel volume 4
BA    8   CR     13/60   TR  0   CH  2   ST &B1 &0B &3B
BA    8   CR      7/30   TR  0   CH  1   ST &B0 &0B &42
BA    8   CR       1/4   TR  0   CH  1   NT  Eb            1/4
BA    8   CR       1/4   TR  0   CH  2   ST &B1 &0B &4A
BA    8   CR       1/4   TR  0   CH  2   NT  Bb-           1/4   von=106
BA    8   CR    31/120   TR  0   CH  2   Channel volume 5
BA    8   CR      4/15   TR  0   CH  1   ST &B0 &0B &41
BA    8   CR     17/60   TR  0   CH  1   ST &B0 &0B &40
BA    8   CR     17/60   TR  0   CH  2   ST &B1 &0B &49
BA    8   CR      3/10   TR  0   CH  1   ST &B0 &0B &40
BA    8   CR    37/120   TR  0   CH  2   Channel volume 6
BA    8   CR     19/60   TR  0   CH  2   ST &B1 &0B &48
BA    8   CR       1/3   TR  0   CH  1   ST &B0 &0B &41
BA    8   CR    41/120   TR  0   CH  2   Channel volume 7
BA    8   CR      7/20   TR  0   CH  1   ST &B0 &0B &42
BA    8   CR      7/20   TR  0   CH  2   ST &B1 &0B &47
